,X1,date,lat,long,ws,air_temp,lag7R0,area,,month
28821,78,3/18/2020,-35.306944,149.195,3.052777778,17.81944444,7.082430593,New South Wales,,3
28822,79,3/19/2020,-35.306944,149.195,4.181944444,21.91944444,0.435330087,New South Wales,,3
28823,80,3/20/2020,-35.306944,149.195,4.827361111,18.07291667,8.643414604,New South Wales,,3
28824,81,3/21/2020,-35.306944,149.195,1.711111111,16.12474868,5.005356039,New South Wales,,3
28825,82,3/22/2020,-35.306944,149.195,4.605555556,17.48444444,4.441315588,New South Wales,,3
33316,82,3/22/2020,-35.306944,149.195,4.605555556,17.48444444,13.44526285,Queensland,,3
28826,83,3/23/2020,-35.306944,149.195,2.891666667,14.54583333,5.840261195,New South Wales,,3
33317,83,3/23/2020,-35.306944,149.195,2.891666667,14.54583333,4.484193528,Queensland,,3
42300,83,3/23/2020,-35.306944,149.195,2.891666667,14.54583333,8.316339287,Victoria,,3
28827,84,3/24/2020,-35.306944,149.195,1.722222222,17.51388889,4.853583595,New South Wales,,3
33318,84,3/24/2020,-35.306944,149.195,1.722222222,17.51388889,3.894660485,Queensland,,3
42301,84,3/24/2020,-35.306944,149.195,1.722222222,17.51388889,8.482915599,Victoria,,3
28828,85,3/25/2020,-35.306944,149.195,4.672916667,15.85652778,5.566975218,New South Wales,,3
33319,85,3/25/2020,-35.306944,149.195,4.672916667,15.85652778,4.097216615,Queensland,,3
42302,85,3/25/2020,-35.306944,149.195,4.672916667,15.85652778,6.829039737,Victoria,,3
28829,86,3/26/2020,-35.306944,149.195,3.790347222,15.51569444,3.11202242,New South Wales,,3
33320,86,3/26/2020,-35.306944,149.195,3.790347222,15.51569444,9.287540061,Queensland,,3
42303,86,3/26/2020,-35.306944,149.195,3.790347222,15.51569444,0.177975204,Victoria,,3
42752,86,3/26/2020,-31.940278,115.966944,3.603472222,28.44895833,17.32078245,Western Australia,,3
28830,87,3/27/2020,-35.306944,149.195,3.02906746,13.68144841,2.82519282,New South Wales,,3
33321,87,3/27/2020,-35.306944,149.195,3.02906746,13.68144841,6.038913434,Queensland,,3
42304,87,3/27/2020,-35.306944,149.195,3.02906746,13.68144841,0.133443722,Victoria,,3
42753,87,3/27/2020,-31.940278,115.966944,5.57172619,23.26130952,10.9413995,Western Australia,,3
28831,88,3/28/2020,-35.306944,149.195,3.081527778,16.59888889,4.053152291,New South Wales,,3
33322,88,3/28/2020,-35.306944,149.195,3.081527778,16.59888889,4.487928376,Queensland,,3
42305,88,3/28/2020,-35.306944,149.195,3.081527778,16.59888889,11.52388066,Victoria,,3
42754,88,3/28/2020,-31.940278,115.966944,4.897916667,18.25694444,16.6744125,Western Australia,,3
28832,89,3/29/2020,-35.306944,149.195,2.654699074,18.48217593,9.357236251,New South Wales,,3
33323,89,3/29/2020,-35.306944,149.195,2.654699074,18.48217593,3.518854861,Queensland,,3
42306,89,3/29/2020,-35.306944,149.195,2.654699074,18.48217593,11.61388356,Victoria,,3
42755,89,3/29/2020,-31.940278,115.966944,2.93125,15.9875,12.33820104,Western Australia,,3
28833,90,3/30/2020,-35.306944,149.195,4.260694444,18.70743056,0.033752371,New South Wales,,3
33324,90,3/30/2020,-35.306944,149.195,4.260694444,18.70743056,4.196011129,Queensland,,3
42307,90,3/30/2020,-35.306944,149.195,4.260694444,18.70743056,0.07830149,Victoria,,3
42756,90,3/30/2020,-31.940278,115.966944,3.95,17.25833333,5.332781,Western Australia,,3
28834,91,3/31/2020,-35.306944,149.195,2.073148148,16.88943287,4.104639339,New South Wales,,3
33325,91,3/31/2020,-35.306944,149.195,2.073148148,16.88943287,4.295657693,Queensland,,3
42308,91,3/31/2020,-35.306944,149.195,2.073148148,16.88943287,3.317277267,Victoria,,3
42757,91,3/31/2020,-31.940278,115.966944,3.8625,18.6125,5.993402687,Western Australia,,3
28835,92,4/1/2020,-35.306944,149.195,3.035069444,19.03041667,4.583777591,New South Wales,,4
33326,92,4/1/2020,-35.306944,149.195,3.035069444,19.03041667,2.091485592,Queensland,,4
42309,92,4/1/2020,-35.306944,149.195,3.035069444,19.03041667,2.339674906,Victoria,,4
42758,92,4/1/2020,-31.940278,115.966944,4.648611111,21.45694444,0.116427905,Western Australia,,4
1890,93,4/2/2020,-35.306944,149.195,4.538472222,15.55388889,9.146831417,Australian Capital Territory,,4
28836,93,4/2/2020,-35.306944,149.195,4.538472222,15.55388889,3.391530985,New South Wales,,4
33327,93,4/2/2020,-35.306944,149.195,4.538472222,15.55388889,1.882662988,Queensland,,4
42310,93,4/2/2020,-35.306944,149.195,4.538472222,15.55388889,1.795623315,Victoria,,4
42759,93,4/2/2020,-31.940278,115.966944,5.930208333,18.12881944,4.995783549,Western Australia,,4
1891,94,4/3/2020,-35.306944,149.195,3.127202381,14.69861607,4.310122924,Australian Capital Territory,,4
28837,94,4/3/2020,-35.306944,149.195,3.127202381,14.69861607,2.778139073,New South Wales,,4
33328,94,4/3/2020,-35.306944,149.195,3.127202381,14.69861607,1.956904696,Queensland,,4
42311,94,4/3/2020,-35.306944,149.195,3.127202381,14.69861607,1.514780293,Victoria,,4
42760,94,4/3/2020,-31.940278,115.966944,5.471944444,16.995,0.071050444,Western Australia,,4
1892,95,4/4/2020,-35.306944,149.195,8.078506944,11.50527778,3.25291832,Australian Capital Territory,,4
28838,95,4/4/2020,-35.306944,149.195,8.078506944,11.50527778,2.646035011,New South Wales,,4
33329,95,4/4/2020,-35.306944,149.195,8.078506944,11.50527778,1.915359703,Queensland,,4
40515,95,4/4/2020,-35.306944,149.195,8.078506944,11.50527778,10.84553546,Tasmania,,4
42312,95,4/4/2020,-35.306944,149.195,8.078506944,11.50527778,2.739236564,Victoria,,4
42761,95,4/4/2020,-31.940278,115.966944,5.80125,20.46930556,2.927432588,Western Australia,,4
1893,96,4/5/2020,-35.306944,149.195,7.401636905,11.9681746,1.769435247,Australian Capital Territory,,4
28839,96,4/5/2020,-35.306944,149.195,7.401636905,11.9681746,1.832935659,New South Wales,,4
33330,96,4/5/2020,-35.306944,149.195,7.401636905,11.9681746,0.774227979,Queensland,,4
40516,96,4/5/2020,-35.306944,149.195,7.401636905,11.9681746,2.378421921,Tasmania,,4
42313,96,4/5/2020,-35.306944,149.195,7.401636905,11.9681746,1.909314578,Victoria,,4
42762,96,4/5/2020,-31.940278,115.966944,7.5,21.60868056,1.834165538,Western Australia,,4
1894,97,4/6/2020,-35.306944,149.195,3.400416667,13.14875,0.406759645,Australian Capital Territory,,4
28840,97,4/6/2020,-35.306944,149.195,3.400416667,13.14875,2.176210447,New South Wales,,4
33331,97,4/6/2020,-35.306944,149.195,3.400416667,13.14875,0.753732794,Queensland,,4
40517,97,4/6/2020,-35.306944,149.195,3.400416667,13.14875,0.347938517,Tasmania,,4
42314,97,4/6/2020,-35.306944,149.195,3.400416667,13.14875,1.105074947,Victoria,,4
42763,97,4/6/2020,-31.940278,115.966944,8.811111111,25.65395833,2.212003787,Western Australia,,4
1895,98,4/7/2020,-35.306944,149.195,2.390902778,14.27409722,0.514710129,Australian Capital Territory,,4
28841,98,4/7/2020,-35.306944,149.195,2.390902778,14.27409722,0.007900199,New South Wales,,4
33332,98,4/7/2020,-35.306944,149.195,2.390902778,14.27409722,1.14005494,Queensland,,4
40518,98,4/7/2020,-35.306944,149.195,2.390902778,14.27409722,1.06228517,Tasmania,,4
42315,98,4/7/2020,-35.306944,149.195,2.390902778,14.27409722,1.860381053,Victoria,,4
42764,98,4/7/2020,-31.940278,115.966944,4.059722222,24.29548611,0.451165602,Western Australia,,4
