,AREA,PERIMETER,COLUMBUS.,COLUMBUS.I,POLYID,NEIG,EVI,AL,CRIME,OPEN,PLUMB,DISCBD,X,Y,AREA,NSA,NSB,EW,CP,THOUS,NEIGNO,PERIM
1005,0.309441,2.440629,2,5,1,5,0.076,0.454,319.83,2.850747,0.217155,5.03,19.378,48.105,10.391,1,1,1,0,1000,1005,2.440629
1001,0.259329,2.236939,3,1,2,1,0.426,0.051,307.028,5.29672,0.320581,4.27,-3.402,-59.372,8.621,1,1,0,0,1000,1001,2.236939
1006,0.192468,2.187547,4,6,3,6,0.115,0.142,278.455,4.534649,0.374404,3.89,47.484,-120.872,6.981,1,1,1,0,1000,1006,2.187547
1002,0.083841,1.427635,5,2,4,2,0.325,0.05,295.842,0.394427,1.186944,3.7,42.498,2.828,2.908,1,1,0,0,1000,1002,1.427635
1007,0.488888,2.997133,6,7,5,7,-0.004,0.556,266.663,0.405664,0.624596,2.83,65.21,-131.574,16.827,1,1,1,0,1000,1007,2.997133
1008,0.283079,2.335634,7,8,6,8,0.252,0.046,293.723,0.563075,0.25413,3.78,-16.741,-66.992,8.929,1,1,1,0,1000,1008,2.335634
1004,0.257084,2.554577,8,4,7,4,0.394,0.035,296.625,0,2.402402,2.74,32.76,-92.565,16.219999,1,1,0,0,1000,1004,2.554577
1003,0.204954,2.139524,9,3,8,3,0.098,0.217,319.498,3.483478,2.739726,2.89,-23.69,142.088,6.439,1,1,0,0,1000,1003,2.139524
1018,0.500755,3.169707,10,18,9,18,0.493,0.025,301.57,0.527488,0.890736,3.17,-1.376,-73.902,16.164,1,1,1,0,1000,1018,3.169707
1010,0.246689,2.087235,11,10,10,10,0.18,0.158,313.79,1.548348,0.557724,4.33,-23.685,21.404,7.268,1,1,1,0,1000,1010,2.087235
1038,0.041012,0.919488,12,38,11,38,0.069,0.358,319.785,0,1.479915,1.9,24.02,51.638,1.285,1,1,0,1,1000,1038,0.919488
1037,0.035769,0.902125,13,37,12,37,0.175,0.084,278.258,3.157895,2.635046,1.91,56.494,-128.616,1.472,1,1,0,1,1000,1037,0.902125
1039,0.034377,0.93659,14,39,13,39,0.269,0.082,275.319,0,6.328423,2.09,62.726,48.902,1.093,1,1,0,1,1000,1039,0.93659
1040,0.060884,1.128424,15,40,14,40,0.117,0.23,316.323,0.477104,5.110962,1.83,15.585,4.747,2.077,1,1,0,1,1000,1040,1.128423
1009,0.106653,1.437606,16,9,15,9,0.143,0.175,303.242,0.174325,1.311475,1.7,34.107,-1.611,3.231,1,1,1,1,1000,1009,1.437606
1036,0.093154,1.340061,17,36,16,36,0.077,0.404,318.617,0.533737,4.6875,1.1,21.143,13.512,3.59,1,1,0,1,1000,1036,1.34006
1011,0.102087,1.382359,18,11,17,11,0.209,0.133,299.476,0.448232,1.619745,4.47,39.906,64.228,3.457,1,1,1,0,1000,1011,1.382359
1042,0.055494,1.183352,19,42,18,42,0.109,0.238,299.96,24.998068,13.849287,1.58,43.999,71.366,2.691,1,1,0,1,1000,1042,1.183352
1041,0.061342,1.249247,20,41,19,41,0.291,0.063,301.494,0.111111,2.622951,1.53,32.387,-98.501,1.369,1,1,0,1,1000,1041,1.249247
1017,0.444629,3.174601,21,17,20,17,0.502,0.036,303.418,5.318607,0.167224,3.57,8.439,-82.783,14.453,0,1,1,0,1000,1017,3.174601
1043,0.699258,5.07749,22,43,21,43,0.397,0.036,296.797,1.643756,1.559576,1.41,-19.301,-64.16,21.282,0,0,0,1,1000,1043,5.077491
1019,0.192891,1.992717,23,19,22,19,0.018,0.414,263.623,4.539754,1.785714,2.45,73.14,-24.005,6.84,1,1,1,1,1000,1019,1.992717
