type,phh,phv,mhh,mhv
P,-10.54,-15.64,-14.91,-21.25
P,-13.72,-18.59,-14.88,-21.22
LL,-14.87,-19.63,-14.58,-21.24
LL,-12.82,-17.47,-14.2,-21.08
TL,-12.47,-17.29,-14.31,-21.01
TL,-13.68,-18.41,-13.84,-21.07
TL,-14.05,-18.54,-14.76,-21.15
TL,-11.43,-15.71,-14.21,-21.07
SL,-12.49,-17.46,-14.73,-21.11
SL,-12.59,-17.59,-14.92,-21.15
SL,-14.14,-18.84,-14.84,-21.12
SL,-13.19,-17.95,-14.97,-21.13
SL,-15.3,-19.99,-14.77,-21.06
SL,-12.03,-16.9,-15,-21.18
OP,-14.23,-20.88,-15.1,-21.06
OP,-15.28,-21.96,-15.2,-21.06
OP,-13.94,-19.53,-15,-21.06
